"","dt","lm","dl","dt_years"
"1",0.000855695252392569,28.448,0,0.312328767123288
"2",0.00208669544004504,25.4,10.668,0.761643835616438
"3",0.00335522612122349,21.59,16.256,1.22465753424658
"4",0.0011259148057797,26.67,2.54,0.410958904109589
"5",0.00132107337211484,20.32,4.572,0.482191780821918
"6",0.00132107337211484,27.94,2.032,0.482191780821918
"7",0.0011259148057797,25.4,1.27,0.410958904109589
"8",0.00218427472321261,30.48,8.636,0.797260273972603
"9",0.00218427472321261,25.4,10.16,0.797260273972603
"10",0.0010958904109589,30.48,2.032,0.4
"11",0.000855695252392569,26.924,1.524,0.312328767123288
"12",0.00194407956464628,27.94,7.112,0.70958904109589
"13",0.00202664665040345,28.448,8.636,0.73972602739726
"14",0.00501407393507225,24.638,19.304,1.83013698630137
"15",0.00501407393507225,22.352,21.59,1.83013698630137
"16",0.00230437230249578,24.13,11.938,0.841095890410959
"17",0.0011109026083693,25.4,1.27,0.405479452054795
"18",0.002957402889848,26.416,10.668,1.07945205479452
"19",0.00256708575717771,25.908,10.16,0.936986301369863
"20",0.00229686620379058,26.162,11.43,0.838356164383562
"21",0.00441358603865641,25.4,15.748,1.61095890410959
"22",0.00225933571026459,36.83,6.35,0.824657534246575
"23",0.00432351285419403,39.37,10.16,1.57808219178082
"24",0.00189153687370989,37.846,3.42899999999999,0.69041095890411
"25",0.00288984800150122,32.258,7.62,1.05479452054795
"26",0.00335522612122349,39.37,6.35,1.22465753424658
"27",0.0113792456370801,44.958,13.462,4.15342465753425
"28",0.00183148808406831,38.354,3.556,0.668493150684932
"29",0.00424094576843686,33.02,11.43,1.54794520547945
"30",0.00189904297241509,36.83,3.175,0.693150684931507
"31",0.00189904297241509,29.718,6.477,0.693150684931507
"32",0.0113642334396697,39.624,12.446,4.14794520547945
"33",0.00535184837680616,29.464,9.906,1.95342465753425
"34",0.00783636704822668,39.878,18.542,2.86027397260274
"35",0.0130831300431601,34.29,24.13,4.77534246575342
"36",0.0213023081253518,42.164,34.036,7.77534246575342
"37",0.00236442109213736,36.83,5.08000000000001,0.863013698630137
"38",0.00758866579095515,29.972,18.923,2.76986301369863
"39",0.0221354850816288,31.75,27.94,8.07945205479452
"40",0.01194220303997,38.1,6.985,4.35890410958904
"41",0.0014937136423344,39.37,4.572,0.545205479452055
"42",0.00950272096078063,45.72,1.27,3.46849315068493
"43",0.00785137924563708,43.688,3.937,2.86575342465753
"44",0.0138337399136799,43.18,24.13,5.04931506849315
"45",0.00308500656783637,26.67,10.16,1.12602739726027
"46",0.00315256145618315,30.48,6.35,1.15068493150685
"47",0.00352036029273785,21.59,16.51,1.28493150684932
"48",0.00595233627322199,27.94,11.43,2.17260273972603
"49",0.00106586601613811,35.56,0.507999999999996,0.389041095890411
"50",0.008151623193845,38.608,5.84200000000001,2.97534246575342
"51",0.00319759804841434,37.592,1.14299999999999,1.16712328767123
"52",0.0102533308313004,32.004,18.796,3.74246575342466
"53",0.0025820979545881,34.29,3.556,0.942465753424658
"54",0.00793394633139426,38.1,10.16,2.8958904109589
"55",0.0168962281854006,38.1,27.94,6.16712328767123
"56",0.00948770876337024,36.83,8.89,3.46301369863014
"57",0.00839181835241134,36.83,1.27,3.06301369863014
"58",0.00613248264214674,35.56,11.43,2.23835616438356
"59",0.0151623193844999,35.56,21.59,5.53424657534247
"60",0.000653030587352224,42.672,1.27,0.238356164383562
"61",0.00287483580409082,35.56,7.62,1.04931506849315
"62",0.00420341527491087,32.004,8.001,1.53424657534247
"63",0.0048264214674423,33.528,16.637,1.76164383561644
"64",0.00271720773128167,40.132,7.49299999999999,0.991780821917808
"65",0.0011259148057797,25.908,2.286,0.410958904109589
"66",0.00210921373616063,37.084,8.001,0.76986301369863
"67",0.00730343404015763,28.702,17.653,2.66575342465753
"68",0.000487896415837868,26.67,1.27,0.178082191780822
"69",0.00175642709701633,30.48,5.08,0.641095890410959
"70",0.000698067179583412,29.21,1.778,0.254794520547945
"71",0.00335522612122349,30.48,2.54,1.22465753424658
"72",0.00610996434603115,27.94,8.89,2.23013698630137
"73",0.000698067179583412,27.94,1.27,0.254794520547945
"74",0.00610996434603115,29.21,13.97,2.23013698630137
"75",0.00264214674422969,30.48,11.43,0.964383561643836
"76",0.00537436667292175,25.908,25.527,1.96164383561644
"77",0.00774629386376431,38.1,12.7,2.82739726027397
"78",0.00773878776505911,38.1,7.62,2.82465753424658
"79",0.00306248827172077,38.608,8.0772,1.11780821917808
"80",0.00544192156126853,33.02,12.7,1.98630136986301
"81",0.00544192156126853,31.75,11.43,1.98630136986301
"82",0.00282229311315444,34.29,6.35,1.03013698630137
"83",0.00544192156126853,33.02,6.985,1.98630136986301
"84",0.00694314130230813,33.02,12.7,2.53424657534247
"85",0.00562206793019328,35.56,12.7,2.05205479452055
"86",0.00905986113717395,36.83,16.51,3.30684931506849
"87",0.00282229311315444,29.21,8.38200000000001,1.03013698630137
"88",0.00604240945768437,33.02,7.62,2.20547945205479
"89",0.0129480202664665,35.56,24.13,4.72602739726027
"90",0.00788140364045787,36.83,9.52500000000001,2.87671232876712
"91",0.00534434227810096,31.75,7.62,1.95068493150685
"92",0.0077838243572903,31.75,13.97,2.84109589041096
"93",0.00644773878776506,30.48,12.7,2.35342465753425
"94",0.00626759241884031,35.56,10.16,2.28767123287671
"95",0.00343028710827547,33.02,7.62,1.25205479452055
"96",0.00360292737849503,29.21,10.16,1.31506849315068
"97",0.00343028710827547,30.48,7.62,1.25205479452055
"98",0.00412084818915369,30.48,13.335,1.5041095890411
"99",0.00347532370050666,36.83,12.7,1.26849315068493
"100",0.00520923250140739,33.02,3.81,1.9013698630137
"101",0.00686808031525615,35.56,15.24,2.50684931506849
"102",0.00833176956276975,33.02,20.32,3.04109589041096
