"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"Median",67.7243336206466,4.98859129885046,0.216545796983159,1.11943134140351,0.168605709685606,2.39852959773673,0,-0.374450430625639,0.973947842599208,3.43878301502623
"2.5%",65.6200704602203,4.25641521450716,0.194959921747317,1.03785309358283,0.140046238477276,2.01643971946023,0,-0.466112140627761,0.534775763854688,2.92386684039857
"97.5%",69.7327070612424,5.69678875006462,0.24260099997942,1.19879815011429,0.197369810871297,2.77515542403605,0,-0.288869460417622,1.32422161977659,3.99687890755211
