"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"Median",61.0470474654029,5.3094878475729,0.298444797195205,0.947949634965877,0.190426202355659,2.08017961545896,0,0,0.800456772645876,1
"2.5%",56.1617509510426,4.54818913586539,0.228092407125961,0.801840692044005,0.150749109375203,1.4996123483583,0,-7.9901832382789,0.585461116924382,0.98561425108553
"97.5%",66.8113225521467,6.0702358366948,0.393130042518063,1.09329875322189,0.243932696660193,2.56687272179056,0,8.34885468372571,0.971839366364771,1.01670483712723
