"","summary.mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.Rhat","summary.n.eff"
"Linf_mu",60.1027620938235,1.60273027275769,57.1920057517241,58.9984575235941,60.0012202358193,61.1332396426277,63.4787189941284,1.00221907773444,3600
"Linf_std",5.50181848862174,0.337888241250377,4.85194147253693,5.27267528903678,5.49702755908458,5.72735203566944,6.17705501974229,1.00105674001486,18000
"Linf_tau",0.03341447055291,0.00415794531562594,0.0262081919369221,0.0304854242819673,0.0330936120487919,0.0359697936704588,0.042478472664078,1.00105674001486,18000
"Shape",26.4833308306753,4.1448566973394,19.5154896491311,23.5610093181929,26.1162320467831,28.9895760288062,35.5589854045879,1.00105462158695,19000
"deviance",3354.81476500267,119.169062995697,3110.24459537767,3276.550306001,3359.28193934859,3437.50083533101,3575.89129994305,1.00125136042721,6600
"k_mu",0.348452986118688,0.159558729746679,0.0667401552447968,0.269177382646751,0.321214326908655,0.393224022448784,0.791010603901706,1.00098794676904,29000
"k_std",1.20962866324681,59.9637418833299,0.00972594857278865,0.0342254766785623,0.0974186528666155,0.29479356036067,3.36186935247864,1.00095652786138,29000
"k_tau",1273.23140356371,3327.78272804843,0.0884786190914884,11.5070504026184,105.369704119859,853.69156225523,10571.4865675112,1.00095652786138,29000
"rate",10.2984366372914,1.45130765603666,7.78772833065683,9.27871378735312,10.1825189837846,11.1941991163694,13.4446227426696,1.00101697123746,29000
"tau",0.265184079743723,0.0424260305986656,0.195635768739803,0.235123998162714,0.260803350419422,0.290296602418093,0.361971296476817,1.00117382484173,8800
"variance",3.86467273139181,0.600380442019937,2.76264999388991,3.44475268284323,3.83430657003373,4.25307500643965,5.11153970688258,1.00117382484173,8800
