"","summary.mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.Rhat","summary.n.eff"
"Linf_mu",77.0061465606153,31.5918609531532,17.3104213464421,71.7716641805297,74.4511459930956,77.6333788944404,162.908417291517,1.00112600604101,11000
"Linf_std",96.2245879998036,3383.74658801666,0.0123947656023825,0.122033243982731,1.22552067124006,15.1553299446646,367.691480516497,1.00098675463797,29000
"Linf_tau",592.436004529539,2415.63654523862,7.39661247095348e-06,0.00435380735257727,0.665822884578296,67.1496398381315,6509.13626794718,1.00098675463797,29000
"Shape",61.0785368581334,12.8213684469563,41.0877528951491,51.5301302009024,59.237464339038,68.7919929090591,90.8129954929571,1.00143012641933,4100
"deviance",3936.99815407993,46.8726385972051,3846.92295660133,3905.02073726969,3936.45904382161,3968.33168492584,4031.05160806887,1.00100061096354,29000
"k_mu",0.170809623134622,0.0148028345245059,0.142409267058308,0.160706892119674,0.170538045634942,0.180645173654494,0.200553765463025,1.00180468614248,2300
"k_std",0.0203966558786684,0.0029545768728055,0.0149633984831085,0.0183464625995945,0.0202711286491744,0.0222936409497607,0.0265680715562593,1.00163221344051,2900
"k_tau",2563.50216734614,784.492351286576,1416.70665962099,2012.04641647171,2433.57166599125,2970.94984517538,4466.21387922154,1.00163221344051,2900
"rate",17.5575278023208,3.61395385803518,11.9226341843879,14.8540771314985,17.0542257399239,19.7199981275488,25.9109203391976,1.00136431366753,4800
"tau",0.12717676173879,0.00972031872794443,0.109013189200945,0.120419404790085,0.126878224753219,0.133548599672566,0.146987460249594,1.00098911416414,29000
"variance",7.9091878287318,0.606895672167377,6.80330144014963,7.48791078642379,7.88157307485204,8.30430944035306,9.17320195225818,1.00098911416414,29000
