"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"Median",61.035919079175,5.3024822669411,0.298507186402644,0.947642168763403,0.190557182432146,2.08003805661036,0,0,0.801622835899636,1
"2.5%",56.1232755007076,4.52843823066354,0.2270540453496,0.797450564474541,0.149639765533535,1.48593016953688,0,-8.78549227547019,0.602988405771047,0.986218114870459
"97.5%",66.843270339288,6.06242965527203,0.393269455482264,1.09439802669237,0.24524716385634,2.57975101686467,0,8.64201654415416,0.972736695690541,1.01739671200713
