"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"result.1",60.8915957397094,5.18523314735479,0.297525175316108,0.962463304349107,0.212270388582911,2.1114507712343,0,0,0,0
"result.2",61.2936761697716,5.33901409890671,0.304149384326253,0.942786418976235,0.206966935779408,2.108423602464,0,0,0,0
"result.3",61.870036235167,5.23627760402924,0.288352214546939,0.93723091971037,0.159318899446354,2.15996090652256,0,0,0,0
"result.4",60.2476182820363,5.70959673429584,0.319445617812422,0.885219066501673,0.205620718376385,1.84091724725818,0,0,0,0
"result.5",63.6415324048255,4.39459513054799,0.260542704597702,1.03319268846938,0.16206508641549,2.57981939089803,0,0,0,0
"result.6",65.2416564333121,4.64685564859214,0.240839492353858,1.04917155045996,0.165887811783431,2.20942144274856,0,0,0,0
"result.7",61.9547333363847,5.20461066632179,0.29168804780396,0.95731169031944,0.184931855793144,2.23963772405959,0,0,0,0
"result.8",59.9522667414655,5.10749283509718,0.327871640457403,0.87556125551766,0.207566915809501,2.26287860063815,0,0,0,0
"result.9",61.9237491215497,5.24044253351072,0.279298606864548,0.969809158591392,0.168638787830812,2.57498724839262,0,0,0,0
"result.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.11",58.3595563971147,5.84367159386409,0.339599562999943,0.892953674545718,0.214386823302791,1.66806891257727,0,0,0,0
"result.12",62.9338213957192,5.32241679066291,0.27769583997477,0.97187244796962,0.176926629024422,1.97583344213614,0,0,0,0
"result.13",61.270178921113,5.36911676293696,0.292853216301523,0.950161313073488,0.198263883733945,2.210605639983,0,0,0,0
"result.14",60.659639351476,5.55744942164203,0.307454578513781,0.940109581612639,0.210379570182732,1.74579662282318,0,0,0,0
"result.15",59.1968784697208,5.49234005415902,0.309203945831264,0.958147952130546,0.205804080779131,2.17909916295965,0,0,0,0
"result.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.17",59.6730824302568,4.7371975267177,0.339962796299118,0.843742388068013,0.212675129306034,2.03829252502069,0,0,0,0
"result.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.19",52.3937722898606,5.55984094707502,0.476084283228531,0.739275620745738,0.26029270075501,1.1289790666427,0,0,0,0
"result.20",60.5991681527954,5.33564287069524,0.320990537844034,0.88542958679466,0.207233565259472,1.912935195905,0,0,0,0
"result.21",60.4210714403786,4.87740260207507,0.291327725138227,0.988263622406348,0.180206083936506,2.12679803539257,0,0,0,0
"result.22",68.4977210238873,5.35457217039603,0.229493060466249,1.02829677690297,0.160191370822543,2.31957462874785,0,0,0,0
"result.23",60.5253083263689,5.01264856414492,0.319791375843088,0.883359680389716,0.198066953092776,1.98396474791749,0,0,0,0
"result.24",60.571659478863,5.5469982731292,0.289951083748437,0.994560686389229,0.206080216158324,2.11957587672765,0,0,0,0
"result.25",58.5509805902565,5.73044692963746,0.329438365828198,0.915035376076699,0.22035699352451,1.83849605715502,0,0,0,0
"result.26",65.5695809677407,5.40677638498064,0.241768801283271,1.04705683823582,0.167365839373341,2.24429259946571,0,0,0,0
"result.27",61.06946854244,5.61797772308355,0.290525731742675,0.976165316474528,0.203830229291651,1.91219344215974,0,0,0,0
"result.28",59.4810258544425,5.51816871802259,0.328916032047738,0.884127755130359,0.217213153320282,1.99929223476404,0,0,0,0
"result.29",61.3528392575104,4.97993135939111,0.301892477252301,0.920278498705254,0.165024830418656,2.24346180336242,0,0,0,0
"result.30",62.0576130470041,4.68873114553591,0.284698669650793,0.970246976070682,0.208088804831129,2.01428027082856,0,0,0,0
"result.31",60.4485825184278,4.8308506094981,0.302593752232796,0.947802773120298,0.18369773101655,2.52446621517699,0,0,0,0
"result.32",63.8343251444699,5.54757381023397,0.263799537565147,0.987367995805345,0.174730991437822,2.19175643469289,0,0,0,0
"result.33",62.9147370495728,5.59862402837061,0.272220407850143,0.995923671000851,0.18139646786329,2.39479473464677,0,0,0,0
"result.34",63.2783891887882,5.35727604335714,0.260256025344049,1.04561602878383,0.167277612665825,2.17118851186692,0,0,0,0
"result.35",63.660590600728,5.13815561549914,0.273694994278341,0.979192209469806,0.181083603275462,2.22992634593363,0,0,0,0
"result.36",61.3153836147609,5.47552436514331,0.3183171694948,0.887198853203472,0.217769996951941,1.80323859100795,0,0,0,0
"result.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.38",61.1939369772263,4.27886443997298,0.293483264055078,0.963267419245357,0.188823337997112,2.26278651399202,0,0,0,0
"result.39",58.7574489675151,4.90217111135485,0.336252252249974,0.862418153076575,0.220840700346369,1.83910553410837,0,0,0,0
"result.40",57.4325103452258,4.55668617512861,0.373357992834076,0.825852617211002,0.217289563666607,1.77493655073651,0,0,0,0
"result.41",60.8164834529984,5.37331497134355,0.30334079250023,0.942046454304445,0.203594269639458,1.9182512768589,0,0,0,0
"result.42",59.9157735277902,5.04798724387978,0.322849697186625,0.900683270881479,0.195744947309878,2.04041882096144,0,0,0,0
"result.43",61.4198309404291,4.91138247054746,0.276229746326282,1.0235831885275,0.185683498549681,2.09344042635371,0,0,0,0
"result.44",58.0969808203239,5.47854052768137,0.355740946297621,0.871550350237614,0.224691161020522,1.74588851721179,0,0,0,0
"result.45",63.2258981690489,5.00046401218829,0.272837533508037,0.954976707420713,0.144907706066567,2.64828087549281,0,0,0,0
"result.46",66.3022666167871,5.00275051557951,0.232664609015238,1.07067748533919,0.150733828397257,2.69130183924602,0,0,0,0
"result.47",63.4038043513975,4.53511027893833,0.26349981378138,1.01767993613598,0.145555952342502,2.69360601148698,0,0,0,0
"result.48",62.6217220430934,4.87694514700061,0.286447960722772,0.948565861624457,0.198795389809234,2.11062756962274,0,0,0,0
"result.49",59.8738429390856,5.47153920932706,0.317709917658246,0.919444387364195,0.202945231385777,1.84931660332311,0,0,0,0
"result.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.51",60.6956966498631,5.20534183764333,0.302111033078454,0.955266637085155,0.198145652035005,1.96820882399834,0,0,0,0
"result.52",59.0052915273999,5.70538011405238,0.329431766780565,0.902820458680334,0.204470103294241,1.72832284402722,0,0,0,0
"result.53",57.2231346420221,4.70075422218013,0.37100895814815,0.850542563196125,0.219473338912996,1.72177688407797,0,0,0,0
"result.54",61.4500296881061,5.31803399818673,0.29007102574697,0.970900100220993,0.18250040094861,2.16517632072879,0,0,0,0
"result.55",58.8881610594358,5.27922592447892,0.328355172099568,0.913151009461362,0.219715720267519,2.02323971949824,0,0,0,0
"result.56",59.8934878417434,5.5443094511156,0.31263456619506,0.938182769970562,0.236383611572618,1.62237420220502,0,0,0,0
"result.57",63.0947718284543,5.4604729983804,0.2616555445646,1.03281273841885,0.166365381706211,2.27782222500296,0,0,0,0
"result.58",64.7451056569382,5.57757340912371,0.258550233679749,0.998894851334999,0.183257147819451,2.14259067925994,0,0,0,0
"result.59",66.9353506366504,5.21760624087478,0.236191298385202,1.04195418562286,0.153252290490182,2.41284889860915,0,0,0,0
"result.60",57.9303472896669,6.00418790144279,0.357684102768979,0.859878974562465,0.249748785927429,1.57616692775165,0,0,0,0
"result.61",61.244359595151,5.25300011244467,0.298425421477739,0.920101711550137,0.181089970671909,2.21012365370744,0,0,0,0
"result.62",67.7002762120507,5.01758484414928,0.222834012446308,1.07456086873761,0.157289940343257,2.10103875075655,0,0,0,0
"result.63",58.6421648491416,5.52638356764774,0.342679315275352,0.871770406701765,0.209189903040915,2.00043885629747,0,0,0,0
"result.64",65.5557512373517,4.86521414176719,0.242286848591809,1.05553854745525,0.143870466704585,2.50952498837026,0,0,0,0
"result.65",67.4596741483043,4.91301556593951,0.224911484154851,1.08568677972141,0.15932758070191,2.35200020859295,0,0,0,0
"result.66",61.8342200243401,5.82935862131099,0.284038051426078,0.967795951374257,0.16966060664739,2.11867798284951,0,0,0,0
"result.67",62.984778634299,5.25698108792353,0.266163270243376,1.01725175718549,0.1820982475137,2.11213326197944,0,0,0,0
"result.68",60.4507220972252,5.23131164038551,0.30726646552134,0.922171572027987,0.184989070500326,2.03540328992053,0,0,0,0
"result.69",58.6844171597812,5.89248386051009,0.346934449660558,0.863490375165275,0.207740154643891,1.71306507340563,0,0,0,0
"result.70",58.0884295387451,5.49105501863284,0.341724257269743,0.873689607403702,0.191383419214758,2.01193096490476,0,0,0,0
"result.71",63.0445820739855,5.47971710834429,0.263448038723473,1.02944141718239,0.183082757644073,2.00685081423437,0,0,0,0
"result.72",61.4706383801039,5.50564969654098,0.280894927591246,0.987058128765697,0.181554063553134,1.96156801902846,0,0,0,0
"result.73",60.2238638162514,5.64876808077419,0.31441892713892,0.920918335010663,0.202485820176679,2.07303961438576,0,0,0,0
"result.74",63.6143738833175,5.28836900891277,0.273840659367284,0.989217552987541,0.206413244892584,2.19886772591191,0,0,0,0
"result.75",64.1614887553456,5.56168432025543,0.260696339892285,1.00927086535089,0.206756368812584,1.77707598452039,0,0,0,0
"result.76",60.6800122304885,5.59137828620269,0.307449232649318,0.922962780974614,0.195490393530107,1.87734367483723,0,0,0,0
"result.77",61.7419609368935,5.51244174136831,0.285917499348774,0.959238130974311,0.185640953588795,2.22019078766769,0,0,0,0
"result.78",55.9099744030027,5.74742365932471,0.396246189775138,0.804260736675822,0.198748850670989,1.9193461026879,0,0,0,0
"result.79",62.4651134364652,4.79672003695824,0.279012142686983,0.959072033910302,0.144867282320393,2.58120516676282,0,0,0,0
"result.80",60.1095070299486,5.51206270786581,0.316825358620192,0.92426387155149,0.208188358696158,1.95228672734645,0,0,0,0
"result.81",63.8833203123202,4.8513884769497,0.264843817490988,0.998901406951311,0.151860066761835,2.49813105361877,0,0,0,0
"result.82",62.5536044351204,5.50907479664111,0.294223710575521,0.935135723507824,0.217392708776841,1.85078971554245,0,0,0,0
"result.83",61.4656915343057,5.26463026624769,0.302700032602124,0.933376874840762,0.174065374333925,2.02138558942482,0,0,0,0
"result.84",62.1925969467539,5.46480267154437,0.279991656978675,0.992868332267169,0.180889332931306,1.86146361320894,0,0,0,0
"result.85",59.5952650264693,6.11291501931991,0.322022562552324,0.901566909668056,0.214909900585341,2.11600081749684,0,0,0,0
"result.86",59.2584716625119,5.25478459453912,0.321533111916196,0.929122042082462,0.204723287439034,1.85177903205522,0,0,0,0
"result.87",66.62425850853,5.50167256091448,0.237664279297628,1.02779710922709,0.160802834047493,2.02717692565558,0,0,0,0
"result.88",65.3447211900278,4.8129838351817,0.237958269489701,1.0719957870575,0.181644092666835,2.65343004363244,0,0,0,0
"result.89",59.0878518084023,5.94752172876951,0.321128643803872,0.937854880265421,0.223204825954938,1.69625528049266,0,0,0,0
"result.90",60.2448484940378,5.17544117051088,0.303760328601363,0.952948306137469,0.188279783928862,2.23891760659568,0,0,0,0
"result.91",57.9631480500305,4.88480759964416,0.361667462878216,0.823122662425335,0.196204854163004,2.20738939742263,0,0,0,0
"result.92",65.4405544752029,5.39031637190994,0.246068687370989,1.04600041303248,0.171251846048,2.18969377442486,0,0,0,0
"result.93",56.4572419565119,5.89768894712445,0.377500694441131,0.834755050200839,0.229126249604699,1.5914030880549,0,0,0,0
"result.94",56.7482567539594,6.21891380947261,0.370000076472413,0.858817672962041,0.2195287287151,1.45409872275925,0,0,0,0
"result.95",59.373975996773,5.30089691349969,0.332022314150398,0.872644080364111,0.183787328982846,2.03570267963144,0,0,0,0
"result.96",61.9605011970005,4.83337354904644,0.277527320707404,0.984906184206918,0.158830558825995,2.35118379644838,0,0,0,0
"result.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
