"","summary.mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.Rhat","summary.n.eff"
"Linf_mu",59.8932687817797,1.57699142704797,57.1020856023439,58.7705245572615,59.804474149179,60.901806161559,63.2371958528959,1.00203622269007,2000
"Linf_std",5.46751511786043,0.342804304917232,4.80463785941693,5.23481655386594,5.46324328598883,5.69679709595366,6.14536317929313,1.00103658456483,36000
"Linf_tau",0.0338524487245766,0.00431398255000197,0.0264792019626273,0.0308133202194516,0.033504174242729,0.0364919495522104,0.0433190258558957,1.00103658456483,36000
"Shape",26.8459330612939,4.40162192747214,19.6286330664583,23.6957116724034,26.3609952355881,29.4764134105243,36.8578771064969,1.00179127832025,2500
"deviance",3351.95382953175,120.287632178772,3106.84064279855,3271.40184693877,3355.69358794102,3436.40008707659,3575.01727147548,1.00151610293294,3700
"k_mu",0.319276496382811,0.0274443159720148,0.266442199380469,0.300452708960099,0.318717345054492,0.33808487438376,0.372802872253754,1.00232186458928,1800
"k_std",0.0115205435445254,0.00406474642844408,0.00558792003961896,0.00851690294375424,0.0108512513924999,0.0138309877321736,0.0211195031055592,1.00103369252557,38000
"k_tau",10741.6001110871,7970.10549506725,2241.98451143727,5227.49477949705,8492.59375626835,13785.9469724183,32025.7739645468,1.00103369252557,38000
"p.value[1,1]",0.350607142857143,0.47716295409878,0,0,0,1,1,1.00098871737321,84000
"p.value[2,1]",0.82475,0.380183058807549,0,1,1,1,1,1.00104170943429,33000
"p.value[3,1]",0.889321428571429,0.31373555272041,0,1,1,1,1,1.00101349746432,61000
"p.value[4,1]",0.530154761904762,0.499092832782771,0,0,1,1,1,1.00098633511644,84000
"p.value[5,1]",0.685297619047619,0.464399999831883,0,0,1,1,1,1.00098290200598,84000
"p.value[6,1]",0.410333333333333,0.491897112614059,0,0,0,1,1,1.00102190057957,49000
"p.value[7,1]",0.424107142857143,0.4942096537823,0,0,0,1,1,1.00099820578763,84000
"p.value[8,1]",0.677261904761905,0.467526276558646,0,0,1,1,1,1.00100446497043,84000
"p.value[9,1]",0.7905,0.406954200823771,0,1,1,1,1,1.00104425295139,31000
"p.value[10,1]",0.429642857142857,0.495028069652717,0,0,0,1,1,1.00101169458303,64000
"p.value[11,1]",0.44927380952381,0.497423159083512,0,0,0,1,1,1.00100843869286,72000
"p.value[12,1]",0.644130952380952,0.478778651865762,0,0,1,1,1,1.00098998974248,84000
"p.value[13,1]",0.71452380952381,0.451643624447529,0,0,1,1,1,1.00100360050236,84000
"p.value[14,1]",0.833309523809524,0.372701509234489,0,1,1,1,1,1.00104858848777,29000
"p.value[15,1]",0.882130952380952,0.322454916315312,0,1,1,1,1,1.00100074393337,84000
"p.value[16,1]",0.852190476190476,0.354913183813494,0,1,1,1,1,1.00103154111793,39000
"p.value[17,1]",0.425178571428571,0.494373000280008,0,0,0,1,1,1.00104589149989,31000
"p.value[18,1]",0.763392857142857,0.425001591902725,0,1,1,1,1,1.00098382708915,84000
"p.value[19,1]",0.735154761904762,0.441253391901857,0,0,1,1,1,1.0009987014682,84000
"p.value[20,1]",0.824297619047619,0.380569019337872,0,1,1,1,1,1.00098222787037,84000
"p.value[21,1]",0.763297619047619,0.42506060122616,0,1,1,1,1,1.00104571953102,31000
"p.value[22,1]",0.479904761904762,0.499598992016979,0,0,0,1,1,1.00099010891247,84000
"p.value[23,1]",0.438583333333333,0.496216610338755,0,0,0,1,1,1.00100563224565,80000
"p.value[24,1]",0.33847619047619,0.473194172179444,0,0,0,1,1,1.00098595061823,84000
"p.value[25,1]",0.497571428571429,0.499997078187972,0,0,0,1,1,1.00099469599721,84000
"p.value[26,1]",0.330416666666667,0.47036594999448,0,0,0,1,1,1.00099788761137,84000
"p.value[27,1]",0.257119047619048,0.437048186030316,0,0,0,1,1,1.0009851608157,84000
"p.value[28,1]",0.352309523809524,0.477692620618221,0,0,0,1,1,1.00098887973476,84000
"p.value[29,1]",0.543166666666667,0.498136118878828,0,0,1,1,1,1.00098628845638,84000
"p.value[30,1]",0.326071428571429,0.468776565252277,0,0,0,1,1,1.00104318076544,32000
"p.value[31,1]",0.597416666666667,0.490421100997749,0,0,1,1,1,1.00102725999302,43000
"p.value[32,1]",0.266535714285714,0.442150149426906,0,0,0,1,1,1.00100969479032,69000
"p.value[33,1]",0.421142857142857,0.493745332348853,0,0,0,1,1,1.00099121028822,84000
"p.value[34,1]",0.527738095238095,0.499232976814247,0,0,1,1,1,1.00099359270944,84000
"p.value[35,1]",0.54547619047619,0.497930585227842,0,0,1,1,1,1.00103211596781,39000
"p.value[36,1]",0.52697619047619,0.499274726688548,0,0,1,1,1,1.00099696425045,84000
"p.value[37,1]",0.382630952380952,0.486032220013226,0,0,0,1,1,1.00100635964363,78000
