"","summary.mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.Rhat","summary.n.eff"
"Linf_mu",77.4599735610915,33.465116262854,11.374549714882,71.7039608377756,74.761268639922,78.6034277113135,166.310111139438,1.00097098871204,29000
"Linf_std",92.7715655117693,1715.07838266989,0.0133644507327685,0.150094106417862,1.65330732907683,18.7380303712543,431.450927281771,1.00099400693786,29000
"Linf_tau",517.996466093947,2252.61024261117,5.37201462773703e-06,0.00284807959901538,0.365841372818699,44.3887301145444,5598.83632119599,1.00099400693786,29000
"Shape",32.7870511635655,3.51634610205462,26.4383737964841,30.3671668572133,32.592030574386,35.0425939003715,40.2708815410309,1.00112219908966,11000
"deviance",4089.90481262276,38.7987378107761,4016.46587882419,4062.89290133065,4088.76573864362,4115.77671051879,4168.13803351254,1.00095202265269,29000
"k_mu",0.238142039407132,0.172658393283486,0.037079448251673,0.141943165350654,0.180724249611988,0.268590443829699,0.759769481633752,1.00098276251737,29000
"k_std",0.710382416532735,8.12090738814607,0.00965364712243366,0.033663659092674,0.0904082631592657,0.293882931532734,3.59749235338166,1.00108958533692,14000
"k_tau",1272.77876326303,3267.61192970297,0.0772681013878339,11.5784726277766,122.344302094473,882.424098162709,10730.4308626089,1.00108958533692,14000
"rate",9.23672978894394,0.938053276569047,7.53487204412731,8.5812819851517,9.1900488819601,9.84158927284546,11.1928515117649,1.00127605579481,6100
"tau",0.105136216463994,0.00731564367004644,0.0910921936045914,0.100181597832614,0.10500314541321,0.109954827997997,0.11989902475606,1.00101944616863,28000
"variance",9.5577971598731,0.669075982192368,8.34035140848344,9.0946438479101,9.52352423410545,9.98187313473308,10.9778891080475,1.00101944616863,28000
