"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"Median",60.9831163155898,5.3036703962375,0.298876409060893,0.946256456072608,0.190939592748901,2.08255325519433,0,0,0.801184357330464,1
"2.5%",56.1682896586318,4.53106271600139,0.22931851472335,0.799137384302251,0.151125298269954,1.49629354625191,0,-9.24398755947504,0.587580484098943,0.98557637930773
"97.5%",66.6673229264867,6.06540094348961,0.393125768131998,1.09260601270855,0.24317365739593,2.55191612130253,0,8.20794490988248,0.966009943852284,1.01658071992673
