"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"result.1",64.044817748909,4.50977441364645,0.252554546317734,1.03827748879432,0.18105373780134,2.33804813630772,0,0,0.788327369159078,1
"result.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.4",62.3528818576985,5.45265368097136,0.286740721818211,0.953702062125689,0.208194051491226,1.8497189050929,0,0,0.627120060656348,1
"result.5",59.533559373968,5.4609637746527,0.324282201298909,0.912512599305967,0.216013644362489,1.98133573812472,0,0,1.13578421222168,1
"result.6",62.9207145914846,5.82416696077427,0.278080464704508,0.990406914225537,0.171492184809176,2.28721515413932,0,-11.4766684743286,0.775455723657018,0.985594318469468
"result.7",59.0348455506872,5.04457012755128,0.330572682689217,0.886081787529118,0.196645298416041,2.20891525711705,0,0,0.790883444831593,1
"result.8",60.3622695269091,5.39690110297667,0.320701883609247,0.887916965387592,0.189248454479497,2.00966538610861,0,0,0.822049780243188,1
"result.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.10",57.612342386307,5.83428762598923,0.366309957511672,0.826085609456476,0.227745279426921,1.63690503889162,0,0,0.740257480562684,1
"result.11",57.2341632503086,4.82518857139369,0.365933198317998,0.846627143125433,0.201870247261007,1.92420972822753,0,0,0.872844919577826,1
"result.12",61.7782895322631,5.07416667193597,0.28895977239458,0.951732699072436,0.170953703263121,2.43251517268472,0,0,0.790607964042572,1
"result.13",62.1067681176197,5.41502639281332,0.283146377516106,0.981704729797736,0.178809964394176,2.44209966030423,0,-12.6810539754678,0.78296518540341,1.03720064726594
"result.14",61.5631109806946,5.50180306142423,0.304829063285139,0.907506560353101,0.180606773148709,2.19394413751805,0,0,0.695632263416242,1
"result.15",57.0779350001298,4.92501961705084,0.367151000007527,0.830278244034781,0.215880908279204,1.7937474108341,0,0,0.292355948558454,1
"result.16",61.9270851718058,5.65022325564276,0.291786506110735,0.939407164809619,0.169708744284932,2.07852383044404,0,0,0.692516755289826,1
"result.17",60.8375216884922,5.7513741332488,0.295870156645318,0.994039892320116,0.206320258070207,2.09268703607724,0,0,0.797809026517188,1
"result.18",56.4482993619683,5.04140389516241,0.381011992908003,0.846099767076303,0.221596547844814,1.80948566919189,0,0,0.835011836462636,1
"result.19",62.0980425443966,5.15381735025211,0.271404636727353,1.02237049128295,0.19485101878333,2.04757421978197,0,0,0.810580829037276,1
"result.20",62.7126625774781,5.15220006599541,0.266264585794401,1.0265268947557,0.176713492370751,2.11958087072109,0,0,0.809135057586458,1
"result.21",66.1928898028115,5.50846002916065,0.236749796308934,1.06049719185593,0.152104006545361,2.31340625149619,0,0,0.775380207333494,1
"result.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.23",66.9973827010102,4.67945614566278,0.227992540216353,1.07325696364608,0.141203741500046,2.87557258862791,0,0,0.767928518319266,1
