"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"Median",61.0125228590374,5.29634353646478,0.298711771789811,0.947631722518345,0.190449200650114,2.08163699511589,0,0,0.800506902180619,1
"2.5%",56.2070235600056,4.54004932210869,0.229443150937606,0.802842817846844,0.150978825237705,1.50256640510205,0,-8.93201720533684,0.581704514402314,0.986330376542608
"97.5%",66.6842701207533,6.06497323802143,0.391822241241546,1.09173467742824,0.243879234022756,2.5625567571487,0,8.46127266187827,0.965067152019251,1.01779894413155
