"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"Median",65.0068087693401,5.88527782973376,0.25968386466486,1.00316226581671,0.181655966351721,2.14965394136714,0,-0.313201738380839,1.549036056125,4.36458272627421
"2.5%",62.1576976784758,4.87906482678947,0.228922680858467,0.917098454856183,0.140694005482639,1.61679679383336,0,-0.440995853872888,0.304290222695289,3.8575173093546
"97.5%",67.3540589699296,6.80628345808383,0.30004557816547,1.08339780781005,0.233032178389017,2.68295702372486,0,-0.194517348783647,2.78843027763155,4.9441149240363
