"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"Median",60.9977132854007,5.30168321655438,0.298820305704101,0.946859545620535,0.190890941678441,2.07834545465801,0,0,0.800972605536312,1
"2.5%",56.1761334914292,4.52902690791056,0.229611781610581,0.800948392454261,0.151244292313967,1.50117940715353,0,-8.94392768357076,0.58933928572152,0.987625754400005
"97.5%",66.7156372491518,6.05645019483977,0.393045730548326,1.09225149091556,0.24520749985549,2.5685296037865,0,8.45642804094962,0.982568210552833,1.01804828994933
