"","Data","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf","time to 90%"
"1","Mark Recapture - Training Data","61.3395559395888","5.59323909602088","0.287691374734788","0.977734198825092","0.192183951176355","2.0639670081773","0","0","0","0",8.00366397886177
"2","Model 7 - All Data - Equal Weighting","78.0125855000324","6.23998065545356","0.122063944866532","1.5","0.130881469874465","2.89313452673681","0","-0.866864645645632","6.78337085856522","1.32697920240376",17.9968964388561
"3","Model 8 - All Data - Weighted by n","64.8822071581349","5.96777407851441","0.261298267158509","1.00002344412904","0.184512031612134","2.15452311406947","0","-0.304828140257415","1.59469140713039","4.0633577862808",8.50726662804524
"4","Model 9 - Separated Data - Equal Weighting","66.8669568427356","5.57135706192643","0.25238732708086","0.991111591323323","0.17836109400517","2.31387931990637","0","-0.271341046392576","1.32431239558426","3.91215886293082",8.85187888555093
"5","Model 10- Separated Data - Weighted by n","64.882202253981","5.96779506589892","0.26129776013799","1.00002480442739","0.184512143405107","2.15452532881498","0","-0.304830928371065","1.59469454838722","4.06341432450453",8.50728093886447
"6","Model 11 - Separated Data - Equal Weighting - No R&M","69.3625636533989","4.27470428072456","0.146087559286994","1.5","0.147839779063144","3.21914913411033","0","-0.799610463313298","1.61349758899755","1.42294926691032",14.9620676989629
"7","Model 12 - Separated Data - Weighted by n - No R&M","68.5664629498054","5.07159729846956","0.203129992591913","1.16533884869908","0.166619204859168","2.4327334203878","0","-0.418347661634458","1.06888756016346","2.73897767680278",10.9171772582129
