"","Data","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf","time to 90%"
"1","Mark Recapture","60.9189059238268","5.3182481319648","0.299576599868771","0.947570553868702","0.191829956584915","2.09916447205998","0","0","0","0",7.68613134004021
"2","Length at Age","65.6792777637389","6.69182204312888","0.297881448891558","0","0","0","0","-0.159332269298029","0.571514542815908","0",7.57053846136398
"3","Length Frequency (Unconstrained)","28.606027000507","0","0.4","0","0","0","0","-0.995874517294727","0","0.585436728720679",4.76058821519039
"4","Length Frequency (Constrained)","65.6792777637389","0","0.135399031382121","0","0","0","0","-1","0","0.925979106190044",16.0059199795583
"5","All Data - Equal Weighting","64.5486298787997","5.65835819206479","0.263388424885133","0.996606263814351","0.182962124973558","2.19281772902057","0","-0.305854065762491","1.77149860844684","4.03481481425109",8.43631102367996
"6","All Data - Weighted by n","63.1847150057541","5.45173397775182","0.273220209664119","0.988175351071152","0.185239392008627","2.16982036054776","0","-0.312350575248214","1.89533877627405","4.18906690404254",8.11522912621205
