"","method","K","Linf","t0","b"
"K","Faben",0.237514529620447,65.9121350756059,0,""
"K1","Francis",0.237514528732496,65.9121351565894,0,""
"K2","Wang",0.22895951529361,66.7706421581785,0,"-0.0924158323532811"
"K3","Wang2",0.228959232251142,69.8063268038565,0,""
