"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"Median",60.9700371472025,5.30122881016685,0.299501889316534,0.946483540632067,0.19124027153466,2.07761483857275,0,0,0.801164450543588,1
"2.5%",56.2121367410725,4.53065389773983,0.2273782385687,0.802806331475099,0.151458739473647,1.50033999975321,0,-8.58767191766325,0.596878725448913,0.985044716947464
"97.5%",66.7924242816907,6.07615364859301,0.391818537249359,1.09557372198154,0.243422819609995,2.5640776759945,0,9.37555782891438,0.97444917531959,1.01565459187701
