"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"Median",61.083421127358,5.30398948910024,0.298102622707798,0.948720649492116,0.190558681987846,2.08601870900075,0,0,0.800622884664069,1
"2.5%",56.2198933842768,4.54161703549174,0.225888818311039,0.801366548709619,0.149533586965636,1.50460510950651,0,-10.370100558174,0.572926428831936,0.983654108372828
"97.5%",66.9720394634021,6.04539753368043,0.391919621377069,1.09815601501424,0.243218360053806,2.5694874650578,0,8.59940319014858,0.977743660356388,1.01693582763318
