"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"Median",68.4076161263689,4.99284986539743,0.205739561169591,1.15545714376743,0.16693906772449,2.40969880687816,0,-0.41432544142575,1.02473251572492,3.24701849319585
"2.5%",66.3162552416578,4.11662642722966,0.182494700858743,1.0670885932131,0.133465510259757,1.9542756263541,0,-0.530846807289819,0.576100553127575,2.67904638797704
"97.5%",70.433565416932,5.82730438098697,0.23104637602232,1.25230860653408,0.200174920989408,2.88438360233335,0,-0.31585949283657,1.39693864474846,3.82506458865677
