"","mu.L","sig.L","k","mu.A","sig.A","sig.sci","sig.f","a0","sig.oto","sig.lf"
"Median",67.5472979787872,4.99663999602196,0.219330347451103,1.10996886954944,0.169423155714328,2.38582545033327,0,-0.371334320689977,0.963788696471681,4.62914490225771
"2.5%",65.4216369190408,4.26341826753558,0.197519128002104,1.03164702351176,0.141256477180274,2.00098436103731,0,-0.466951979213358,0.491646424804639,4.15245465280701
"97.5%",69.5479920269394,5.6798520761177,0.24537457768444,1.18929185676688,0.198728158921742,2.76861422962188,0,-0.28221255128668,1.30836020484653,5.14993323158681
