"L1","L2","X.","dt","L2measurer"
28.448,28.448,0,0.312328767123288,0
25.4,36.068,0,0.761643835616438,0
21.59,37.846,0,1.22465753424658,0
26.67,29.21,0,0.410958904109589,0
20.32,24.892,0,0.482191780821918,0
27.94,29.972,0,0.482191780821918,0
25.4,26.67,0,0.410958904109589,0
30.48,39.116,0,0.797260273972603,0
25.4,35.56,0,0.797260273972603,0
30.48,32.512,0,0.4,0
26.924,28.448,0,0.312328767123288,0
27.94,35.052,0,0.70958904109589,0
28.448,37.084,0,0.73972602739726,0
24.638,43.942,0,1.83013698630137,0
22.352,43.942,0,1.83013698630137,0
24.13,36.068,0,0.841095890410959,0
25.4,26.67,0,0.405479452054795,0
26.416,37.084,0,1.07945205479452,0
25.908,36.068,0,0.936986301369863,0
26.162,37.592,0,0.838356164383562,0
25.4,41.148,0,1.61095890410959,0
36.83,43.18,0,0.824657534246575,0
39.37,49.53,0,1.57808219178082,0
37.846,41.275,0,0.69041095890411,0
32.258,39.878,0,1.05479452054795,0
39.37,45.72,0,1.22465753424658,0
44.958,58.42,0,4.15342465753425,0
38.354,41.91,0,0.668493150684932,0
33.02,44.45,0,1.54794520547945,0
36.83,40.005,0,0.693150684931507,0
29.718,36.195,0,0.693150684931507,0
39.624,52.07,0,4.14794520547945,0
29.464,39.37,0,1.95342465753425,0
39.878,58.42,0,2.86027397260274,0
34.29,58.42,0,4.77534246575342,0
42.164,76.2,0,7.77534246575342,0
36.83,41.91,0,0.863013698630137,0
29.972,48.895,0,2.76986301369863,0
31.75,59.69,0,8.07945205479452,0
38.1,45.085,0,4.35890410958904,0
39.37,43.942,0,0.545205479452055,0
45.72,46.99,0,3.46849315068493,0
43.688,47.625,0,2.86575342465753,0
43.18,67.31,0,5.04931506849315,0
26.67,36.83,0,1.12602739726027,0
30.48,36.83,0,1.15068493150685,0
21.59,38.1,0,1.28493150684932,0
27.94,39.37,0,2.17260273972603,0
35.56,36.068,0,0.389041095890411,0
38.608,44.45,0,2.97534246575342,0
37.592,38.735,0,1.16712328767123,0
32.004,50.8,0,3.74246575342466,0
34.29,37.846,0,0.942465753424658,0
38.1,48.26,0,2.8958904109589,0
38.1,66.04,0,6.16712328767123,0
36.83,45.72,0,3.46301369863014,0
36.83,38.1,0,3.06301369863014,0
35.56,46.99,0,2.23835616438356,0
35.56,57.15,0,5.53424657534247,0
42.672,43.942,0,0.238356164383562,0
35.56,43.18,0,1.04931506849315,0
32.004,40.005,0,1.53424657534247,0
33.528,50.165,0,1.76164383561644,0
40.132,47.625,0,0.991780821917808,0
25.908,28.194,0,0.410958904109589,0
37.084,45.085,0,0.76986301369863,0
28.702,46.355,0,2.66575342465753,0
26.67,27.94,0,0.178082191780822,0
30.48,35.56,0,0.641095890410959,0
29.21,30.988,0,0.254794520547945,0
30.48,33.02,0,1.22465753424658,0
27.94,36.83,0,2.23013698630137,0
27.94,29.21,0,0.254794520547945,0
29.21,43.18,0,2.23013698630137,0
30.48,41.91,0,0.964383561643836,0
25.908,51.435,0,1.96164383561644,0
38.1,50.8,0,2.82739726027397,0
38.1,45.72,0,2.82465753424658,0
38.608,46.6852,0,1.11780821917808,0
