Tag Date,Location,Station,Depth (fa.),Fish Spp.,Tagged before?,Tag #,F. L. (in.),Remarks,Recapture date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (miles) moved,Retagged?,Recapture Date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (mi.),Retagged?,Recapture Date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (mi.),Retagged?,Recapture Date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (mi.), Retagged?
1989-10-25,401,30,63,1,0,A733,9.60,,,,,,,,-31344,-9.6,,,,,,,,,-31344,-9.6,,,,,,,,,-31344,-9.6,,,,,,,,,-31344,-9.6,,
1989-10-30,401,30,63,1,0,A739,9.60,,,,,,,,-31349,-9.6,,,,,,,,,-31349,-9.6,,,,,,,,,-31349,-9.6,,,,,,,,,-31349,-9.6,,
1989-11-01,401,30,63,1,0,A741,11.60,,,,,,,,-31351,-11.6,,,,,,,,,-31351,-11.6,,,,,,,,,-31351,-11.6,,,,,,,,,-31351,-11.6,,
1989-11-03,401,30,63,1,0,A743,10.10,,1989-11-24,401,30,63,10.1,,21,0,0,N,,,,,,,-31353,-10.1,,,,,,,,,-31353,-10.1,,,,,,,,,-31353,-10.1,,
1989-10-25,401,30,63,1,0,A744,10.70,,,,,,,,-31344,-10.7,,,,,,,,,-31344,-10.7,,,,,,,,,-31344,-10.7,,,,,,,,,-31344,-10.7,,
1989-11-03,401,30,63,1,0,A747,11.00,,1990-04-28,401,30,63,11.8,,176,0.8,0,N,,,,,,,-31353,-11,,,,,,,,,-31353,-11,,,,,,,,,-31353,-11,,
1989-11-01,401,30,63,1,0,A748,9.50,,,,,,,,-31351,-9.5,,,,,,,,,-31351,-9.5,,,,,,,,,-31351,-9.5,,,,,,,,,-31351,-9.5,,
1989-11-03,401,30,63,1,0,A749,10.20,,,,,,,,-31353,-10.2,,,,,,,,,-31353,-10.2,,,,,,,,,-31353,-10.2,,,,,,,,,-31353,-10.2,,
1989-10-30,401,30,63,1,0,A754,10.00,,1989-11-03,401,30,63,10,,4,0,0,C771,1990-03-29,401,30,63,10.5,,150,0.5,0,N,,,,,,,-31349,-10,,,,,,,,,-31349,-10,,
1989-10-30,401,30,63,1,0,A758,10.00,,,,,,,,-31349,-10,,,,,,,,,-31349,-10,,,,,,,,,-31349,-10,,,,,,,,,-31349,-10,,
1989-10-25,401,30,63,1,0,A759,11.30,,,,,,,,-31344,-11.3,,,,,,,,,-31344,-11.3,,,,,,,,,-31344,-11.3,,,,,,,,,-31344,-11.3,,
1989-11-03,401,30,63,1,0,A762,12.50,,,,,,,,-31353,-12.5,,,,,,,,,-31353,-12.5,,,,,,,,,-31353,-12.5,,,,,,,,,-31353,-12.5,,
1989-11-03,401,30,63,1,0,A763,12.00,,1990-08-21,401,30,63,15.4,,291,3.4,0,N,,,,,,,-31353,-12,,,,,,,,,-31353,-12,,,,,,,,,-31353,-12,,
1989-11-01,401,30,63,1,0,A780,11.00,,,,,,,,-31351,-11,,,,,,,,,-31351,-11,,,,,,,,,-31351,-11,,,,,,,,,-31351,-11,,
1989-10-30,401,30,63,1,0,A782,10.50,,,,,,,,-31349,-10.5,,,,,,,,,-31349,-10.5,,,,,,,,,-31349,-10.5,,,,,,,,,-31349,-10.5,,
1989-11-03,401,30,63,1,0,A783,10.00,,1990-08-21,401,30,63,14,,291,4,0,N,,,,,,,-31353,-10,,,,,,,,,-31353,-10,,,,,,,,,-31353,-10,,
1989-11-03,401,30,63,1,0,A788,11.60,,1989-11-16,401,30,63,11.5,,13,-0.1,0,B600,1989-11-24,401,30,63,11.2,,21,-0.4,0,N,,,,,,,-31353,-11.6,,,,,,,,,-31353,-11.6,,
1989-11-03,401,30,63,1,0,A789,9.80,,,,,,,,-31353,-9.8,,,,,,,,,-31353,-9.8,,,,,,,,,-31353,-9.8,,,,,,,,,-31353,-9.8,,
1989-10-30,401,30,63,1,0,A792,9.50,,,,,,,,-31349,-9.5,,,,,,,,,-31349,-9.5,,,,,,,,,-31349,-9.5,,,,,,,,,-31349,-9.5,,
1989-10-25,401,30,63,1,0,A796,12.00,,1989-12-15,401,30,63,12.5,,51,0.5,0,P909,1990-03-20,401,30,63,12.8,1.4,146,0.8,0,N,,,,,,,-31344,-12,,,,,,,,,-31344,-12,,
1989-10-30,401,30,63,1,0,A797,10.50,,1989-12-05,401,30,63,10.4,,36,-0.1,0,N,,,,,,,-31349,-10.5,,,,,,,,,-31349,-10.5,,,,,,,,,-31349,-10.5,,
