Tag Date,Location,Station,Depth (fa.),Fish Spp.,Tagged before?,Tag #,F. L. (in.),Remarks,Recapture date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (miles) moved,Retagged?,Recapture Date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (mi.),Retagged?,Recapture Date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (mi.),Retagged?,Recapture Date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (mi.), Retagged?
1993-04-26,331,30,52,1,0,G301,15.50,,,,,,,,-32623,-15.5,,,,,,,,,-32623,-15.5,,,,,,,,,-32623,-15.5,,,,,,,,,-32623,-15.5,,
1993-04-26,331,30,52,1,1,G302,16.50,,,,,,,,-32623,-16.5,,,,,,,,,-32623,-16.5,,,,,,,,,-32623,-16.5,,,,,,,,,-32623,-16.5,,
1993-04-26,331,30,52,1,0,G303,16.00,,,,,,,,-32623,-16,,,,,,,,,-32623,-16,,,,,,,,,-32623,-16,,,,,,,,,-32623,-16,,
1993-04-26,331,30,52,1,0,G304,15.00,,,,,,,,-32623,-15,,,,,,,,,-32623,-15,,,,,,,,,-32623,-15,,,,,,,,,-32623,-15,,
1993-04-26,331,30,52,1,1,G305,15.50,,,,,,,,-32623,-15.5,,,,,,,,,-32623,-15.5,,,,,,,,,-32623,-15.5,,,,,,,,,-32623,-15.5,,
1993-04-26,331,30,52,1,0,G306,15.50,,,,,,,,-32623,-15.5,,,,,,,,,-32623,-15.5,,,,,,,,,-32623,-15.5,,,,,,,,,-32623,-15.5,,
1993-04-26,331,31,124,4,0,G308,12.60,,,,,,,,-32623,-12.6,,,,,,,,,-32623,-12.6,,,,,,,,,-32623,-12.6,,,,,,,,,-32623,-12.6,,
1993-05-14,331,31,124,4,0,G309,13.50,,,,,,,,-32641,-13.5,,,,,,,,,-32641,-13.5,,,,,,,,,-32641,-13.5,,,,,,,,,-32641,-13.5,,
1993-05-14,331,31,124,4,0,G310,14.20,,,,,,,,-32641,-14.2,,,,,,,,,-32641,-14.2,,,,,,,,,-32641,-14.2,,,,,,,,,-32641,-14.2,,
1993-05-14,331,31,124,4,0,G311,12.00,,,,,,,,-32641,-12,,,,,,,,,-32641,-12,,,,,,,,,-32641,-12,,,,,,,,,-32641,-12,,
1993-11-12,401,30,63,3,0,G348,9.00,,,,,,,,-32823,-9,,,,,,,,,-32823,-9,,,,,,,,,-32823,-9,,,,,,,,,-32823,-9,,
1993-11-12,401,30,63,1,0,G349,10.50,,,,,,,,-32823,-10.5,,,,,,,,,-32823,-10.5,,,,,,,,,-32823,-10.5,,,,,,,,,-32823,-10.5,,
1993-11-12,401,30,63,1,0,G350,11.50,,,,,,,,-32823,-11.5,,,,,,,,,-32823,-11.5,,,,,,,,,-32823,-11.5,,,,,,,,,-32823,-11.5,,
1993-11-12,401,30,63,1,0,G351,14.00,,,,,,,,-32823,-14,,,,,,,,,-32823,-14,,,,,,,,,-32823,-14,,,,,,,,,-32823,-14,,
1993-11-22,401,30,63,1,1,G352,12.50,,,,,,,,-32833,-12.5,,,,,,,,,-32833,-12.5,,,,,,,,,-32833,-12.5,,,,,,,,,-32833,-12.5,,
1993-11-22,401,30,63,1,0,G353,13.00,,,,,,,,-32833,-13,,,,,,,,,-32833,-13,,,,,,,,,-32833,-13,,,,,,,,,-32833,-13,,
1993-11-22,401,30,63,1,0,G354,12.50,,1994-01-15,401,30,63,12.5,,54,0,,,,,,,,,-32833,-12.5,,,,,,,,,-32833,-12.5,,,,,,,,,-32833,-12.5,,
1993-11-22,401,30,63,1,0,G355,10.00,,,,,,,,-32833,-10,,,,,,,,,-32833,-10,,,,,,,,,-32833,-10,,,,,,,,,-32833,-10,,
1993-11-22,401,30,63,1,0,G356,13.50,,1993-12-31,401,30,63,,,39,-13.5,,,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,
1993-11-22,401,30,63,1,0,G357,11.50,masaki (r),1995-03-16,421,tip?,none,15,2,479,3.5,est. .5-1nm,N,,,,,,,-32833,-11.5,,,,,,,,,-32833,-11.5,,,,,,,,,-32833,-11.5,,
1993-11-22,401,30,63,1,0,G358,12.00,,,,,,,,-32833,-12,,,,,,,,,-32833,-12,,,,,,,,,-32833,-12,,,,,,,,,-32833,-12,,
1993-11-22,401,30,63,1,0,G359,11.00,,,,,,,,-32833,-11,,,,,,,,,-32833,-11,,,,,,,,,-32833,-11,,,,,,,,,-32833,-11,,
1993-11-22,401,30,63,1,0,G360,12.50,,,,,,,,-32833,-12.5,,,,,,,,,-32833,-12.5,,,,,,,,,-32833,-12.5,,,,,,,,,-32833,-12.5,,
1993-11-22,401,30,63,1,0,G361,12.50,,,,,,,,-32833,-12.5,,,,,,,,,-32833,-12.5,,,,,,,,,-32833,-12.5,,,,,,,,,-32833,-12.5,,
1993-11-22,401,30,63,1,0,G362,13.50,gushiken (r),1994-08-28,401,30,NONE,16,none,279,2.5,sra,N,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,
1993-11-22,401,30,63,1,0,G363,10.00,,,,,,,,-32833,-10,,,,,,,,,-32833,-10,,,,,,,,,-32833,-10,,,,,,,,,-32833,-10,,
1993-11-22,401,30,63,1,0,G364,11.50,,,,,,,,-32833,-11.5,,,,,,,,,-32833,-11.5,,,,,,,,,-32833,-11.5,,,,,,,,,-32833,-11.5,,
1993-11-22,401,30,63,1,0,G365,12.00,,,,,,,,-32833,-12,,,,,,,,,-32833,-12,,,,,,,,,-32833,-12,,,,,,,,,-32833,-12,,
1993-11-22,401,30,63,1,0,G366,11.50,,,,,,,,-32833,-11.5,,,,,,,,,-32833,-11.5,,,,,,,,,-32833,-11.5,,,,,,,,,-32833,-11.5,,
1993-06-09,401,30,63,1,0,G367,14.00,,,,,,,,-32667,-14,,,,,,,,,-32667,-14,,,,,,,,,-32667,-14,,,,,,,,,-32667,-14,,
1993-11-22,401,30,63,3,0,G367,10.50,,,,,,,,-32833,-10.5,,,,,,,,,-32833,-10.5,,,,,,,,,-32833,-10.5,,,,,,,,,-32833,-10.5,,
1993-11-22,401,30,63,1,0,G368,10.50,,,,,,,,-32833,-10.5,,,,,,,,,-32833,-10.5,,,,,,,,,-32833,-10.5,,,,,,,,,-32833,-10.5,,
1993-11-22,401,30,63,1,0,G369,10.50,,,,,,,,-32833,-10.5,,,,,,,,,-32833,-10.5,,,,,,,,,-32833,-10.5,,,,,,,,,-32833,-10.5,,
1993-11-22,401,30,63,1,0,G370,9.50,,,,,,,,-32833,-9.5,,,,,,,,,-32833,-9.5,,,,,,,,,-32833,-9.5,,,,,,,,,-32833,-9.5,,
1993-11-22,401,30,63,1,1,G371,10.50,,,,,,,,-32833,-10.5,,,,,,,,,-32833,-10.5,,,,,,,,,-32833,-10.5,,,,,,,,,-32833,-10.5,,
1993-11-22,401,30,63,1,0,G372,10.50,,,,,,,,-32833,-10.5,,,,,,,,,-32833,-10.5,,,,,,,,,-32833,-10.5,,,,,,,,,-32833,-10.5,,
1993-11-22,401,30,63,1,0,G374,10.00,,1993-12-25,401,30,63,,,33,-10,,,,,,,,,-32833,-10,,,,,,,,,-32833,-10,,,,,,,,,-32833,-10,,
1993-11-22,401,30,63,1,1,G375,12.50,,,,,,,,-32833,-12.5,,,,,,,,,-32833,-12.5,,,,,,,,,-32833,-12.5,,,,,,,,,-32833,-12.5,,
1993-11-22,401,30,63,1,1,G376,13.50,RECAP W/ANTOHER TAG-NO DATA,1993-12-31,401,30,63,,,39,-13.5,,,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,
1993-11-22,401,30,63,1,0,G377,11.50,,,,,,,,-32833,-11.5,,,,,,,,,-32833,-11.5,,,,,,,,,-32833,-11.5,,,,,,,,,-32833,-11.5,,
1993-11-22,401,30,63,1,1,G378,13.50,,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,
1993-11-22,401,30,63,1,0,G379,15.50,,,,,,,,-32833,-15.5,,,,,,,,,-32833,-15.5,,,,,,,,,-32833,-15.5,,,,,,,,,-32833,-15.5,,
1993-11-22,401,30,63,1,1,G380,12.00,,,,,,,,-32833,-12,,,,,,,,,-32833,-12,,,,,,,,,-32833,-12,,,,,,,,,-32833,-12,,
1993-11-22,401,30,63,1,0,G381,13.50,,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,
1993-11-22,401,30,63,1,0,G382,13.50,,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,
1993-11-22,401,30,63,1,0,G383,13.00,,,,,,,,-32833,-13,,,,,,,,,-32833,-13,,,,,,,,,-32833,-13,,,,,,,,,-32833,-13,,
1993-11-22,401,30,63,1,0,G384,12.00,,,,,,,,-32833,-12,,,,,,,,,-32833,-12,,,,,,,,,-32833,-12,,,,,,,,,-32833,-12,,
1993-11-22,401,30,63,1,0,G385,12.50,,,,,,,,-32833,-12.5,,,,,,,,,-32833,-12.5,,,,,,,,,-32833,-12.5,,,,,,,,,-32833,-12.5,,
1993-11-22,401,30,63,1,0,G386,12.00,hookala (c),1996-03-21,331,Ilio,none,17,4,850,5,est. 43-45nm,N,,,,,,,-32833,-12,,,,,,,,,-32833,-12,,,,,,,,,-32833,-12,,
1993-11-22,401,30,63,1,0,G387,15.00,,,,,,,,-32833,-15,,,,,,,,,-32833,-15,,,,,,,,,-32833,-15,,,,,,,,,-32833,-15,,
1993-11-22,401,30,63,1,0,G388,13.50,,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,,,,,,,,-32833,-13.5,,
1993-11-26,401,30,63,1,0,G389,13.00,,1993-12-28,401,30,63,14,1.3,32,1,0,N,,,,,,,-32837,-13,,,,,,,,,-32837,-13,,,,,,,,,-32837,-13,,
1993-11-26,401,30,63,1,0,G390,14.00,,1993-12-31,401,30,63,,,35,-14,,,,,,,,,-32837,-14,,,,,,,,,-32837,-14,,,,,,,,,-32837,-14,,
1993-11-26,401,30,63,1,0,G391,14.00,,,,,,,,-32837,-14,,,,,,,,,-32837,-14,,,,,,,,,-32837,-14,,,,,,,,,-32837,-14,,
1993-11-26,401,30,63,1,0,G392,10.50,,,,,,,,-32837,-10.5,,,,,,,,,-32837,-10.5,,,,,,,,,-32837,-10.5,,,,,,,,,-32837,-10.5,,
1993-11-26,401,30,63,1,0,G393,11.50,,,,,,,,-32837,-11.5,,,,,,,,,-32837,-11.5,,,,,,,,,-32837,-11.5,,,,,,,,,-32837,-11.5,,
1993-11-26,401,30,63,1,0,G394,12.00,,,,,,,,-32837,-12,,,,,,,,,-32837,-12,,,,,,,,,-32837,-12,,,,,,,,,-32837,-12,,
1993-11-26,401,30,63,1,0,G395,12.50,,,,,,,,-32837,-12.5,,,,,,,,,-32837,-12.5,,,,,,,,,-32837,-12.5,,,,,,,,,-32837,-12.5,,
1993-11-26,401,30,63,1,0,G396,13.00,Masaki (r),1995-02-26,421,ewa,90,16.5,2.75,457,3.5,est. .5-1nm,N,,,,,,,-32837,-13,,,,,,,,,-32837,-13,,,,,,,,,-32837,-13,,
1993-11-26,401,30,63,1,0,G397,12.50,,,,,,,,-32837,-12.5,,,,,,,,,-32837,-12.5,,,,,,,,,-32837,-12.5,,,,,,,,,-32837,-12.5,,
1993-11-26,401,30,63,1,1,G398,10.50,,,,,,,,-32837,-10.5,,,,,,,,,-32837,-10.5,,,,,,,,,-32837,-10.5,,,,,,,,,-32837,-10.5,,
1993-11-26,401,30,63,1,1,G399,12.00,,,,,,,,-32837,-12,,,,,,,,,-32837,-12,,,,,,,,,-32837,-12,,,,,,,,,-32837,-12,,
1993-08-01,307,30,58,1,0,G400,11.50,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,
1993-08-01,307,30,58,1,0,G401,12.50,,,,,,,,-32720,-12.5,,,,,,,,,-32720,-12.5,,,,,,,,,-32720,-12.5,,,,,,,,,-32720,-12.5,,
1993-08-01,307,30,58,1,0,G402,13.00,,,,,,,,-32720,-13,,,,,,,,,-32720,-13,,,,,,,,,-32720,-13,,,,,,,,,-32720,-13,,
1993-08-01,307,30,58,1,0,G403,11.00,,1993-09-01,,,,,,31,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,
1993-08-01,307,30,58,1,0,G404,10.50,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,
1993-08-01,307,30,58,1,0,G405,10.50,,1993-09-01,,,,,,31,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,
1993-08-01,307,30,58,1,0,G406,10.50,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,
1993-08-01,307,30,58,1,0,G407,11.50,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,
1993-08-01,307,30,58,1,0,G408,8.50,,,,,,,,-32720,-8.5,,,,,,,,,-32720,-8.5,,,,,,,,,-32720,-8.5,,,,,,,,,-32720,-8.5,,
1993-08-01,307,30,58,1,0,G409,11.00,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,
1993-08-01,307,30,58,1,0,G410,11.50,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,
1993-08-01,307,30,58,1,0,G411,10.50,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,
1993-08-01,307,30,58,1,0,G412,11.00,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,
1993-08-01,307,30,58,1,0,G413,11.00,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,
1993-08-01,307,30,58,1,0,G414,11.00,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,
1993-08-01,307,30,58,1,0,G415,12.00,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,
1993-08-01,307,30,58,1,0,G416,10.50,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,
1993-08-01,307,30,58,1,0,G417,10.50,FLOAT AWAY,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,
1993-08-01,307,30,58,1,0,G418,11.00,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,
1993-08-01,307,30,58,1,0,G419,11.00,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,
1993-08-01,307,30,58,1,0,G420,9.50,,,,,,,,-32720,-9.5,,,,,,,,,-32720,-9.5,,,,,,,,,-32720,-9.5,,,,,,,,,-32720,-9.5,,
1993-08-01,307,30,58,1,0,G421,12.00,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,
1993-08-01,307,30,58,1,0,G422,11.00,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,
1993-08-01,307,30,58,1,0,G423,,,,,,,,,-32720,0,,,,,,,,,-32720,0,,,,,,,,,-32720,0,,,,,,,,,-32720,0,,
1993-08-01,307,30,58,1,0,G424,12.00,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,
1993-08-01,307,30,58,1,0,G425,10.00,,,,,,,,-32720,-10,,,,,,,,,-32720,-10,,,,,,,,,-32720,-10,,,,,,,,,-32720,-10,,
1993-08-01,307,30,58,1,0,G426,13.00,,1993-09-26,kahoolawe,,,13.5,,56,0.5,est 3-4 miles,N,,,,,,,-32720,-13,,,,,,,,,-32720,-13,,,,,,,,,-32720,-13,,
1993-08-01,307,30,58,1,0,G427,11.50,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,
1993-08-01,307,30,58,1,0,G428,10.00,,,,,,,,-32720,-10,,,,,,,,,-32720,-10,,,,,,,,,-32720,-10,,,,,,,,,-32720,-10,,
1993-08-01,307,30,58,1,0,G429,11.50,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,
1993-08-01,307,30,58,1,0,G430,12.00,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,
1993-08-01,307,30,58,1,0,G431,10.50,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,
1993-08-01,307,30,58,1,0,G432,12.00,,1993-09-01,,,,,,31,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,
1993-08-01,307,30,58,1,0,G433,11.50,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,
1993-08-01,307,30,58,1,0,G434,12.00,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,
1993-08-01,307,30,58,1,0,G435,10.50,D. Lickle (c),1996-02-14,304,Kaupo,50-60,16,4.25?,927,5.5,est. 30 nm,N,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,
1993-08-01,307,30,58,1,0,G436,11.50,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,
1993-08-01,307,30,58,1,0,G437,10.50,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,
1993-08-01,307,30,58,1,0,G438,10.00,,,,,,,,-32720,-10,,,,,,,,,-32720,-10,,,,,,,,,-32720,-10,,,,,,,,,-32720,-10,,
1993-08-01,307,30,58,1,0,G439,10.00,,,,,,,,-32720,-10,,,,,,,,,-32720,-10,,,,,,,,,-32720,-10,,,,,,,,,-32720,-10,,
1993-08-01,307,30,58,1,0,G440,12.00,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,
1993-08-01,307,30,58,1,0,G441,11.00,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,
1993-08-01,307,30,58,1,0,G442,12.50,,,,,,,,-32720,-12.5,,,,,,,,,-32720,-12.5,,,,,,,,,-32720,-12.5,,,,,,,,,-32720,-12.5,,
1993-08-01,307,30,58,1,0,G443,12.50,,,,,,,,-32720,-12.5,,,,,,,,,-32720,-12.5,,,,,,,,,-32720,-12.5,,,,,,,,,-32720,-12.5,,
1993-08-01,307,30,58,1,0,G444,11.00,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,
1993-08-01,307,30,,1,0,G445,11.00,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,
1993-08-01,327,30,,1,0,G446,10.50,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,,,,,,,,-32720,-10.5,,
1993-08-01,327,30,66,1,0,G447,13.00,,,,,,,,-32720,-13,,,,,,,,,-32720,-13,,,,,,,,,-32720,-13,,,,,,,,,-32720,-13,,
1993-08-01,327,30,66,1,0,G448,11.50,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,,,,,,,,-32720,-11.5,,
1993-08-01,327,30,66,1,0,G449,12.00,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,
1993-08-01,327,30,66,1,0,G450,14.50,,,,,,,,-32720,-14.5,,,,,,,,,-32720,-14.5,,,,,,,,,-32720,-14.5,,,,,,,,,-32720,-14.5,,
1993-08-01,327,30,66,1,0,G451,13.00,,,,,,,,-32720,-13,,,,,,,,,-32720,-13,,,,,,,,,-32720,-13,,,,,,,,,-32720,-13,,
1993-08-01,327,30,66,1,0,G452,12.00,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,
1993-08-01,327,30,66,1,0,G453,13.00,,,,,,,,-32720,-13,,,,,,,,,-32720,-13,,,,,,,,,-32720,-13,,,,,,,,,-32720,-13,,
1993-08-01,327,30,66,1,0,G454,14.50,,,,,,,,-32720,-14.5,,,,,,,,,-32720,-14.5,,,,,,,,,-32720,-14.5,,,,,,,,,-32720,-14.5,,
1993-08-01,327,30,66,1,0,G455,12.50,,,,,,,,-32720,-12.5,,,,,,,,,-32720,-12.5,,,,,,,,,-32720,-12.5,,,,,,,,,-32720,-12.5,,
1993-08-01,327,30,66,1,0,G456,12.00,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,,,,,,,,-32720,-12,,
1993-08-01,327,30,66,1,0,G457,13.00,,,,,,,,-32720,-13,,,,,,,,,-32720,-13,,,,,,,,,-32720,-13,,,,,,,,,-32720,-13,,
1993-08-01,327,30,66,1,0,G458,11.00,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,,,,,,,,-32720,-11,,
1993-08-01,327,30,66,1,0,G459,18.50,,,,,,,,-32720,-18.5,,,,,,,,,-32720,-18.5,,,,,,,,,-32720,-18.5,,,,,,,,,-32720,-18.5,,
1993-08-01,327,30,66,1,0,G460,15.50,,,,,,,,-32720,-15.5,,,,,,,,,-32720,-15.5,,,,,,,,,-32720,-15.5,,,,,,,,,-32720,-15.5,,
1993-08-01,327,30,66,1,0,G461,16.50,,,,,,,,-32720,-16.5,,,,,,,,,-32720,-16.5,,,,,,,,,-32720,-16.5,,,,,,,,,-32720,-16.5,,
1993-08-02,320,30,65,1,0,G462,13.00,,,,,,,,-32721,-13,,,,,,,,,-32721,-13,,,,,,,,,-32721,-13,,,,,,,,,-32721,-13,,
1993-08-02,320,30,65,1,0,G463,14.00,,,,,,,,-32721,-14,,,,,,,,,-32721,-14,,,,,,,,,-32721,-14,,,,,,,,,-32721,-14,,
1993-08-02,320,30,65,1,0,G464,16.50,,,,,,,,-32721,-16.5,,,,,,,,,-32721,-16.5,,,,,,,,,-32721,-16.5,,,,,,,,,-32721,-16.5,,
1993-08-02,320,30,65,3,0,G465,12.50,,,,,,,,-32721,-12.5,,,,,,,,,-32721,-12.5,,,,,,,,,-32721,-12.5,,,,,,,,,-32721,-12.5,,
1993-08-02,320,30,65,1,0,G466,11.50,,,,,,,,-32721,-11.5,,,,,,,,,-32721,-11.5,,,,,,,,,-32721,-11.5,,,,,,,,,-32721,-11.5,,
1993-08-03,320,37,65,1,0,G467,12.50,,,,,,,,-32722,-12.5,,,,,,,,,-32722,-12.5,,,,,,,,,-32722,-12.5,,,,,,,,,-32722,-12.5,,
1993-08-03,320,37,65,1,0,G468,12.00,,,,,,,,-32722,-12,,,,,,,,,-32722,-12,,,,,,,,,-32722,-12,,,,,,,,,-32722,-12,,
1993-08-03,320,37,65,1,0,G469,12.50,,,,,,,,-32722,-12.5,,,,,,,,,-32722,-12.5,,,,,,,,,-32722,-12.5,,,,,,,,,-32722,-12.5,,
1993-08-04,320,30,65,1,0,G470,16.00,,,,,,,,-32723,-16,,,,,,,,,-32723,-16,,,,,,,,,-32723,-16,,,,,,,,,-32723,-16,,
1993-08-04,320,30,65,1,0,G471,15.50,,,,,,,,-32723,-15.5,,,,,,,,,-32723,-15.5,,,,,,,,,-32723,-15.5,,,,,,,,,-32723,-15.5,,
1993-08-04,320,30,65,1,0,G472,14.50,Ventura (C),1994-10-10,320,none,none,17.5,3.75,432,3,?,N,,,,,,,-32723,-14.5,,,,,,,,,-32723,-14.5,,,,,,,,,-32723,-14.5,,
1993-08-04,320,30,65,1,0,G473,13.00,,,,,,,,-32723,-13,,,,,,,,,-32723,-13,,,,,,,,,-32723,-13,,,,,,,,,-32723,-13,,
1993-08-04,320,30,65,1,0,G474,11.50,,,,,,,,-32723,-11.5,,,,,,,,,-32723,-11.5,,,,,,,,,-32723,-11.5,,,,,,,,,-32723,-11.5,,
1993-08-04,320,30,65,1,0,G475,15.50,,,,,,,,-32723,-15.5,,,,,,,,,-32723,-15.5,,,,,,,,,-32723,-15.5,,,,,,,,,-32723,-15.5,,
1993-08-04,320,30,65,1,0,G476,13.50,,,,,,,,-32723,-13.5,,,,,,,,,-32723,-13.5,,,,,,,,,-32723,-13.5,,,,,,,,,-32723,-13.5,,
1993-08-04,320,30,65,1,0,G477,12.50,,,,,,,,-32723,-12.5,,,,,,,,,-32723,-12.5,,,,,,,,,-32723,-12.5,,,,,,,,,-32723,-12.5,,
1993-08-04,320,30,65,3,0,G478,11.00,,,,,,,,-32723,-11,,,,,,,,,-32723,-11,,,,,,,,,-32723,-11,,,,,,,,,-32723,-11,,
1993-08-04,320,30,65,1,0,G479,12.00,,,,,,,,-32723,-12,,,,,,,,,-32723,-12,,,,,,,,,-32723,-12,,,,,,,,,-32723,-12,,
1993-08-04,320,30,65,1,0,G480,11.50,,,,,,,,-32723,-11.5,,,,,,,,,-32723,-11.5,,,,,,,,,-32723,-11.5,,,,,,,,,-32723,-11.5,,
1993-08-04,320,30,65,1,0,G481,12.00,,,,,,,,-32723,-12,,,,,,,,,-32723,-12,,,,,,,,,-32723,-12,,,,,,,,,-32723,-12,,
1993-08-04,320,30,65,1,0,G482,12.00,,,,,,,,-32723,-12,,,,,,,,,-32723,-12,,,,,,,,,-32723,-12,,,,,,,,,-32723,-12,,
1993-08-04,320,30,65,1,0,G483,12.00,,,,,,,,-32723,-12,,,,,,,,,-32723,-12,,,,,,,,,-32723,-12,,,,,,,,,-32723,-12,,
1993-08-04,320,30,65,1,0,G484,13.50,,,,,,,,-32723,-13.5,,,,,,,,,-32723,-13.5,,,,,,,,,-32723,-13.5,,,,,,,,,-32723,-13.5,,
1993-08-04,320,30,65,1,0,G485,13.00,,,,,,,,-32723,-13,,,,,,,,,-32723,-13,,,,,,,,,-32723,-13,,,,,,,,,-32723,-13,,
1993-08-04,320,30,65,1,0,G486,11.50,,,,,,,,-32723,-11.5,,,,,,,,,-32723,-11.5,,,,,,,,,-32723,-11.5,,,,,,,,,-32723,-11.5,,
1993-08-04,320,30,65,1,0,G487,11.00,,,,,,,,-32723,-11,,,,,,,,,-32723,-11,,,,,,,,,-32723,-11,,,,,,,,,-32723,-11,,
