date,length,month,year,month_year
1990-01-01,13,January,1990,Jan-90
1990-01-01,13,January,1990,Jan-90
1990-01-01,13,January,1990,Jan-90
1990-01-01,13,January,1990,Jan-90
1990-01-01,13,January,1990,Jan-90
1990-01-01,13,January,1990,Jan-90
1990-01-01,13,January,1990,Jan-90
1990-01-01,13,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,14,January,1990,Jan-90
1990-01-01,15,January,1990,Jan-90
1990-01-01,15,January,1990,Jan-90
1990-01-01,15,January,1990,Jan-90
1990-01-01,15,January,1990,Jan-90
1990-01-01,15,January,1990,Jan-90
1990-01-01,15,January,1990,Jan-90
1990-01-01,15,January,1990,Jan-90
1990-01-01,15,January,1990,Jan-90
1990-01-01,16,January,1990,Jan-90
1990-01-01,17,January,1990,Jan-90
1990-01-01,17,January,1990,Jan-90
1990-01-01,17,January,1990,Jan-90
1990-01-01,17,January,1990,Jan-90
1990-01-01,17,January,1990,Jan-90
1990-01-01,18,January,1990,Jan-90
1990-01-01,18,January,1990,Jan-90
1990-01-01,19,January,1990,Jan-90
1990-01-01,19,January,1990,Jan-90
1990-01-01,19,January,1990,Jan-90
1990-01-01,19,January,1990,Jan-90
1990-01-01,19,January,1990,Jan-90
1990-01-01,19,January,1990,Jan-90
1990-01-01,20,January,1990,Jan-90
1990-01-01,20,January,1990,Jan-90
1990-01-01,20,January,1990,Jan-90
1990-01-01,21,January,1990,Jan-90
1990-01-01,21,January,1990,Jan-90
1990-01-01,21,January,1990,Jan-90
1990-01-01,21,January,1990,Jan-90
1990-01-01,21,January,1990,Jan-90
1990-01-01,22,January,1990,Jan-90
1990-01-01,24,January,1990,Jan-90
1990-02-01,11,February,1990,Feb-90
1990-02-01,11,February,1990,Feb-90
1990-02-01,11,February,1990,Feb-90
1990-02-01,11,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,12,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
